target,BART Greedy,BART Sampling,T5 Greedy,T5 Sampling
"Represent each entity as a probability distribution over contexts embedded in a ground space. Proposes to construct word embeddings from a histogram over context words, instead of as point vectors, which allows for measuring distances between two words in terms of optimal transport between the histograms through a method that augments representation of an entity from standard ""point in a vector space"" to a histogram with bins located at some points in that vector space.","A new metric for word entailment between entities and contexts. This work introduces a new metric to measure the distance between words between entities, which can be used to improve the efficiency of existing point-wise embedding methods. The study presents a method for measuring distance between two words in NLP, and shows that it is more efficient than point-based methods.","A new metric for word entailment in NLP. This paper proposes a method for estimating the distance between two words that is more efficient than point-wise embedding methods. The study presents a method to estimate the distance of words between two entities, which can be used as a proxy for how much information is available on a given document.","A point-wise embedding method for word entailment, which can be used to measure any kind of distance between words. This article presents a method for learning representations that are able to effectively capture such inherent uncertainty and polysemy. The authors show that distributional estimations capture more of this information compared to points-wise embedded vectors alone, but has largely been ignored in the past.","A method for optimal transport between documents and contexts that can capture such inherent uncertainty and polysemy. This work explores the problem of co-occurrence information required to build the distributions as a first step of point-wise embedding methods, but has been ignored in the past. The authors present a method for determining the distance between documents by defining a suitable underlying cost on the movement of contexts."
"precision highway; a generalized concept of high-precision information flow for sub 4-bit quantization Investigates the problem of neural network quantization by employing an end-to-end precision highway to reduce the accumulated quantization error and enable ultra-low precision in deep neural networks. This work studies methods to improve the performance of quantized neural networks This paper proposes to keep a high activation/gradient flow in two kinds of networks structures, ResNet and LSTM.","A novel network-level method for quantization of high-precision information flow. This work introduces a new method for training convolutional neural networks, called precision highway, which can be applied to both pre-activation and post-activation neural networks. The study presents a novel approach to quantization in the context of deep neural networks where the activation tensor is directly connected to the residual path.","High-precision quantization with no accuracy loss and 2.45 % top-1 accuracy loss in ResNet-50 This article proposes a novel method for quantization of deep neural networks, called precision highway, which can be applied to both pre-activation and post-activation convolutional neural networks. The paper proposes a new approach to quantization that is more efficient than existing methods.","A network-level approach to quantization, called precision highway, which can be applied to both pre-activation convolutional and recurrent neural networks. This work introduces a novel quantization method for high-precision information flow by proposing a weight-binarized AlexNet that gives the same accuracy as a fully precision one.","A network-level approach to quantization, called precision highway, for high-precision information flow. This work introduces a novel quantization method that can be applied to the pre-activation convolutional and recurrent neural networks. The authors present a method for quantization using weight/activation quantization with no accuracy loss and an analysis of the energy and memory overhead of the network."
"Many graph classification data sets have duplicates, thus raising questions about generalization abilities and fair comparison of the models. The authors discuss isomorphism bias in graph datasets, the overfitting effect in learning networks whenever graph isomorphism features are incorporated within the model, theoretically analogous to data leakage effects.","A method for graph classification based on isomorphic graphs in training data sets. This study presents a new method for learning to classify graphs in the training data set, which is based on graph isomorphism bias. The authors introduce a new algorithm for graph isomorphic graph classification, called WL algorithm, which can be used to improve the generalization ability of the models.","A method for graph classification based on isomorphic graphs in the training data set. This paper proposes a novel approach to graph classification by introducing a new class of graphs that are isomorphic to existing data sets. The authors propose a new classification algorithm which can be used to improve the generalization ability of the models, and provide an empirical benchmark to evaluate the accuracy of the methods.","A graph classification problem with isomorphic graphs can be interpreted as a classification problem with weighted loss. This article presents a method for graph classification that uses WL algorithm to generalize to ""harder"" instances than in the original test sets. The authors address the problem of classifying graphs in data sets using a combination of individualization and individualization-refinement paradigms, showing a drop of accuracy by up to 15%.","A graph classification algorithm for isomorphic graphs that has repeating instances which cause the problem of a bias in the training data set. This work presents a graph classification problem with mismatched target labels that are different from the target label, and shows that it is not expressive enough to map the structure of the graphs to the target labels correctly. The authors present a method to classify graphs using a single number that uniquely identifies an individual graph."
"We utilize the alternating minimization principle to provide an effective novel technique to train deep autoencoders. Alternating minimization framework for training autoencoder and encoder-decoder networks The authors explore an alternating optimization approach for training Auto Encoders, treating each layer as a generalized linear model, and suggest using the stochastic normalized GD as the minimization algorithm in each phase.","An alternating minimization strategy for quasi-convex optimization. This article introduces a new method for training autoencoders with sigmoidal activation functions, which provides an efficient implementation of DANTE. This work presents a novel approach to quasi-Convex problem where the layers are trained as a set of generalized linear activation functions. The authors introduce a new variant of the SNGD that combines the sigmoid activation functions with the generalized ReLU activation functions","DANTE is an alternating minimization strategy for quasi-convex optimization. This paper proposes a new approach to quasi-convolutional neural networks by combining two different autoencoder activation functions. The article presents a novel method for training autoencoders with sigmoidal activation functions, which improves the performance of semi-convictional neural nets.","A novel method for training neural networks with sigmoid activation functions. This work introduces a new algorithm to train autoencoders by using alternating minimization and showing how DANTE can be applied to multi-layer neural networks. The paper presents a method for learning deep networks with multiple hidden layers, which uses a generalized gradient descent technique to perform quasi-convex optimization.","A method for training neural networks with sigmoid activation functions that can be applied to quasi-convex optimization problems. This work introduces alternating minimization strategy, DANTE, which can be used to train multi-layer networks with multiple hidden layers. The authors present a method to train autoencoders and show how to use the generalized ReLU function to train deep neural networks without further finetuning/cross-validation."
"We propose an algorithmic framework to schedule constellations of small spacecraft with 3-DOF re-orientation capabilities, networked with inter-sat links. This article proposes a communication module to optimize the schedule of communication for the problem of spacecraft constellations, and compares the algorithm in distributed and centralized settings.","Combine physical models of orbital mechanics (OM), attitude control systems (ACS), and inter-satellite links (ISL) and optimizes the schedule for any satellite in a constellation to observe a known set of ground regions with rapidly changing parameters and observation requirements. This work presents an approach to optimizing the scheduler for each satellite in the constellation.","A novel algorithmic framework that combines physical models of orbital mechanics (OM), attitude control systems (ACS) and inter-satellite links (ISL) to optimise the schedule for any satellite in a given constellation. This paper proposes an approach to optimizing the scheduler for each satellite in the network, with the goal of reducing latency.","A physics-based agile EO scheduler that optimizes the schedule for any satellite in a given constellation to observe a set of ground regions with rapidly changing parameters and observation requirements. This work presents a novel algorithmic framework that combines physical models of orbital mechanics (OM), attitude control systems, and inter-satellite links to improve the revisit/response for the same number of satellites Copyright  2019.","A new algorithmic scheduler that optimizes the schedule for any satellite in a given constellation to observe a known set of ground regions with rapidly changing parameters and observation requirements. This work introduces an algorithmic framework for combining satellite and subsystem characteristics with a network-wide scheduler, which is expected to run onboard every satellite from one GP to another."
"Image captioning as a conditional GAN training with novel architectures, also study two discrete GAN training methods. An improved GAN model for image captioning that proposes a context-aware LSTM captioner, introduces a stronger co-attentive discriminator with better performance, and uses SCST for GAN training.","A novel GAN framework for image captioning based on Self-critical Sequence Training (SCST) and Gumbel Straight-Through (ST) This work introduces a new GAN-based framework that outperforms other GANs in terms of training stability and the overall performance. This work presents a novel sequence-based GAN architecture that enables better language composition, more expressive captions, and more descriptive captions.",Self-critical Sequence Training (SCST) and Gumbel Straight-Through (ST) This paper proposes a novel GAN framework for image captioning based on self-critical sequence training. The authors propose a new GAN architecture that outperforms the existing Gumbels in terms of performance and generalizability. Presents a novel method for generating captions from image and caption using Self-Critical Sequence Training,"A novel GAN-based framework for image captioning that enables better language composition, more accurate compositional alignment of image and text, and light-weight efficient training of discrete sequence GANs. This work introduces a GAN framework that combines self-critical Sequence Training (SCST) and Gumbel Straight-Through (Gumbel ST).","A GAN-based framework for image captioning that enables better language composition, more accurate compositional alignment of image and text, and light-weight efficient training of discrete sequence GANs. This work studies the viability of self-critical Sequence Training (SCST) and Gumbel Straight-Through (Gumbel ST)."
A two-stage approach consisting of sentence selection followed by span selection can be made more robust to adversarial attacks in comparison to a single-stage model trained on full context. This work investigates an existing model and finds that a two-stage trained QA method is not more robust to adversarial attacks compared to other methods.,"A two-stage approach for question-answering with adversarial training. This paper presents a novel approach for QA that combines sentence selection and context selection to improve the robustness of both models. This work introduces a new approach to QA in which sentence selection is combined with context selection, allowing for more robust robustness to adversarial attacks.","A two-stage approach for question answering that is more robust to adversarial attacks than single-stage approaches. This paper proposes a new approach for QA which combines sentence selection and context selection in order to improve the robustness of QA models. The authors propose a novel method for improving QA by combining sentence selection, context selection, and sentence selection with adversarial training.","A promising two-stage approach for QA which decomposes the task into two stages: select relevant sentences from the passage; and select a span among those sentences. This work introduces a new approach for question-answering (QA), where an adversary can fool the model into selecting the wrong span in the passage. The study presents a novel way to improve adversarial robustness in both the context selection and span selection.",A new approach for two-stage QA that decomposes the task into two stages: select relevant sentences from the passage; and select a span among those sentences. This work presents a novel way to make adversarial models more robust to adversarially attacks. The authors present a method for learning a fixed-length question representation that is then used to score potential spans in the context selection process.
"We use a GAN discriminator to perform an approximate rejection sampling scheme on the output of the GAN generator. Proposes a rejection sampling algorithm for sampling from the GAN generator. This study proposed a post-processing rejection sampling scheme for GANs, named Discriminator Rejection Sampling, to help filter ƒ??goodƒ?? samples from GANsƒ?? generator.","A new rejection sampling method for GANs that can be used to correct errors in the GAN distribution. This paper introduces a new method for solving the problem of discriminator rejection sampling, which is based on the assumption that the discriminator is biased towards a given distribution. The work presents a new rejection sample method for generating samples that are biased toward a particular class of classes.","Discriminator Rejection Sampling (DRS) is an adjustment of the discriminator to approximately correct errors in the GAN generator distribution. This paper proposes a new rejection sampling method for GANs that addresses the problem of disentangled samples, and shows that it can be used to improve the accuracy of the algorithm. The article proposes a method for discriminating GAN generators by using a discriminator instead of a random sample generator.","Using a rejection sampling scheme to approximately correct errors in the GAN generator distribution. This article introduces a method for generating samples from pre-trained generators, and shows that under quite strict assumptions, this scheme allows us to recover the data distribution exactly. This work presents a novel rejection sampling algorithm for GANs using a discriminator to approximate the true data distribution of the generator.","A method to correct errors in the GAN generator distribution. This work introduces a new rejection sampling scheme using the discriminator to completely minimize its own loss yields DISPLAYFORM. The authors present a method for resolving the problem of reject sampling and show that under quite strict assumptions, this scheme allows us to recover the data distribution exactly."
We show how to get good representations from the point of view of Simiarity Search. Studies the impact of changing the image classification part on top of the DNN on the ability to index the descriptors with a LSH or a kd-tree algorithm. Proposes to use softmax cross-entropy loss to learn a network that tries to reduce the angles between inputs and the corresponding class vectors in a supervised framework using.,"An approximate nearest neighbor search algorithm for hyperplane neural networks. This article studies the problem of finding the correct distance between a query and its nearest neighbor in a dataset of size n. The study presents a method to find the nearest neighbor of a hyperplane NNS algorithm, based on the cosine similarity theorem.","An approximate nearest neighbor search algorithm for hyperplane neural networks. This article proposes a method for solving the cosine similarity NNS problem, where the distance between the query and its nearest neighbor is the angular distance ƒ?ÿ(q, p) DISPLAYFORM0 2.1 THEORETICAL ANALYSIS Different NNS algorithms rely on different properties on the data in order to enable faster similarity search. The authors propose an approximate distance search algorithm based on the angle between the querying vector and the nearest neighbor.","A method for determining the angle between query and database points to determine the nearest neighbor. This work studies the cosine similarity NNS problem in hyperplane LSH BID3 using an angle of  with the closest vector, and compares the two ANN implementations as a function of the angle of the query and the closest neighbor search. The paper presents a method to estimate the distance between query time and query time to find the correct neighbor.",A new dataset of n = 10 6 random unit vectors and plant queries at a given angle  from a randomly selected subset of database points. The authors study the cosine similarity problem in hyperplane LSH BID3 and show that the probability of finding the closest vector is at least 99.33%.
Adversarial learning methods encourage NLI models to ignore dataset-specific biases and help models transfer across datasets. The paper proposes an adversarial setup to mitigate annotation artifacts in natural language inference data This work presents a method for removing bias of a textual entailment model through an adversarial training objective.,"An adversarial architecture for NLI models that does not require direct supervision in the form of a domain label. This work introduces a new classifier architecture that can be trained on NLI datasets without requiring direct supervision. The authors introduce two new adversarial architectures, a baseline NLI architecture and an adversarial hypothesis-only architecture.","An adversarial architecture for NLI models that does not contain hidden biases in the training corpus. This paper proposes two adversarial architectures that enable a model to generalize well on NLI datasets despite the high presence of annotation artifacts. The authors propose an adversarial approach to NLI training by adding a bias-only classifier to each target dataset, and then removing the bias from the latent representation.",A domain-adversarial training framework for NLI models that performs well on other NLI datasets regardless of what annotation artifacts exist in the training corpus's hypotheses. This work introduces two architectures that enable a model to perform well on non-trivial datasets without possibly learning the relationship between the two texts.,"A domain-adversarial training framework for neural networks that can perform well on other NLI datasets regardless of what annotation artifacts exist in the training corpus' hypotheses. This work presents two architectures that enable a model to perform well against hidden biases, while in fact they are still hidden in the representation. The authors present an adversarial loss function that reduces the risk of false impressions of success."
"Object instance recognition with adversarial autoencoders was performed with a novel 'mental image' target that is canonical representation of the input image. The paper proposes a method to learn features for object recognition that is invariant to various transformations of the object, most notably object pose. This paper investigated the task of few shot recognition via a generated ƒ??mental imageƒ? as intermediate representation given the input image.",MIDCGAN is a novel autoencoder that learns features that are useful for image generation. This work introduces a new model of autoencoders for the problem of generating images that are sharper and closer to the target than a regular autoencatcher. The authors introduce a new method for generating images from mental images that can be used for general classification tasks such as image-to-image translation.,"MIDCGAN is an autoencoder that learns features that are useful for generative reasoning. This paper proposes a novel approach to generating representations of mental images that can be used for classification tasks. The authors propose a novel autoencoders based on the idea of using mental images as a representation of objects, and propose a new method to generate representations of objects in order to use them for classification purposes.","A mental image DCGAN that learns features that are useful for recognizing entire classes of objects. This article introduces a new way to learn the mental image and adversarial loss in a multimodal autoencoder, where the discriminator can tell a real target sample quickly and the real component of the opponent. The authors present a mental image generation approach with a dual-mode learning approach","A new mental image DCGAN that learns features that are useful for recognizing entire classes of objects. This work introduces a new approach to learning mental images from the perspective of an object generation model and a discriminator-like representation of the object in the form of a bottleneck feature vector, of length n. The authors describe a novel way of learning mental image recognition by learning a range of classification features from the input to the target distribution."
"Question answering models that model the joint distribution of questions and answers can learn more than discriminative models This paper proposes a generative approach to textual and visual QA, where a joint distribution over the question and answer space given the context is learned, which captures more complex relationships. This paper introduces a generative model for question answering and proposes to model p(q,a|c), factorized as p(a|c) * p(q|a,c). The authors proposes a generative QA model, which optimizes jointly the distribution of questions and answering given a document/context.","A generative QA model that learns to answer questions independently of the answer and document. This work introduces a generative model for answering questions using question-to-context attention. The study presents a novel QA framework for answering complex questions in a multi-sentence setting, where the question is answered independently from the document and the document.","A generative QA model for answering questions independently of the answer and document This paper proposes a novel method for answering question-to-question questions in CLEVR. The authors propose a generative approach to answering questions by using a self-attention mechanism to select the correct word for each question. The article proposes a new way of answering questions on CLEVR, which is based on an attention mechanism that allows the model to learn more information about the question.","CLEVR is a fully connected layer applied to the concatenation of word embeddings and the hidden states of each layer of the language model. This work studies the problem of over-fitting to discriminative loss functions, which saturate when simple correlations allow the question to be answered confidently, leaving no incentive for further learning on the example.","A discriminative language model that can identify the only producer, and ignore the rest of the question. This work introduces a discriminative loss function which saturates when simple correlations allow the question to be answered confidently, leaving no incentive for further learning on the example. The authors address the problem of discriminative word embedding by using a hidden state of each layer of a language model with a trainable vector of size d."
"We learn deep networks of hard-threshold units by setting hidden-unit targets using combinatorial optimization and weights by convex optimization, resulting in improved performance on ImageNet. The study explains and generalizes approaches for learning neural nets with hard activation. This article examines the problem of optimizing deep networks of hard-threshold units. The study discusses the problem of optimizing neural networks with hard threshold and proposes a novel solution to it with a collection of heuristics/approximations.","A recursive mini-batch algorithm for learning deep neural networks with hard-threshold activations. This work introduces a recursive minibatch algorithm to learn deep neural network activations that includes the popular straight-through estimator as a special case. This paper presents a recursive semi-batch method for learning neural networks that includes a deep gradient descent problem, and shows that it improves classification accuracy in a number of settings, including AlexNet.",A recursive mini-batch algorithm for learning deep neural networks with hard-threshold activations. This paper proposes a new algorithm to learn deep neural network architectures with non-differentiable activations in order to minimize loss. The authors propose an algorithm for improving the accuracy of deep neural net classification by using gradient descent as a general optimization problem.,"A discrete optimization problem for hard-threshold hidden units in order to minimize loss. This work presents a mini-batch algorithm for learning deep neural networks that includes the popular but poorly justified straight-through estimator as a special case. The authors address the problem of learning deep deep networks with gradient descent, and show that it improves classification accuracy in a number of settings, including for AlexNet and ResNet-18 on ImageNet.","A mini-batch algorithm for learning deep hard-threshold networks that includes the popular but poorly justified straight-through estimator as a special case. The authors address the problem of learning deep neural networks with hidden units in order to minimize loss, and show that it improves classification accuracy in a number of settings, including for AlexNet and ResNet-18 on ImageNet."
"pix2scene: a deep generative based approach for implicitly modelling the geometrical properties of a 3D scene from images Explores explaining scenes with surfels in a neural recognition model, and demonstrate results on image reconstruction, synthesis, and mental shape rotation. Authors introduce a method to create a 3D scene model given a 2D image and a camera pose using a self-superfised model",A novel method of unsupervised learning of 3D structure from a single view of a scene. This work introduces a novel method for learning 3D structural properties of objects in a scene by using a variational encoder network. The study presents a novel approach to learn 3D representations of objects that can be viewed from a wide range of locations.,"A method of unsupervised learning of 3D structure from a single view of a given scene. This paper proposes a novel approach to learn 3D structural properties of objects in a scene using a variational encoder network. The authors propose a novel method for learning 3D structures based on a low-dimensional latent variable, which can be used to train models that can infer the structure of a scene.","A method of unsupervised learning of the 3D structure from a single 2D image. This work introduces a method to infer the structural properties of a 3D scene using a latent variable (or vector) into a viewpoint-dependent representation of surface elements that constitute the visible part of the scene. The authors present a new model for 3D rendering, which uses a gradient-based renderer and a surfel-based rendering pipeline.","A method of unsupervised learning of the 3D structure in a 3D scene using a latent variable. This work studies the structural properties of a 2D scene and shows that only a small fraction of the entities are perceivable from the camera. The authors present a method to learn a surfel-based representation of the visible part of the scene by learning a viewpoint-dependent representation of surface elements, similar to surfels BID24"
"We show how to use deep RL to construct agents that can solve social dilemmas beyond matrix games. Learning to play two-player general-sum games with state with imperfect information Specifies a trigger strategy (CCC) and corresponding algorithm, demonstrating convergence to efficient outcomes in social dilemmas without need for agents to observe each other's actions.",A new reward-ergodic strategy for cooperative and selfish agents. This article introduces a new policy gradient approach for cooperative/selfish agents in Markov games. This study presents a new reward gradient approach to cooperative/socially motivated agents in the Prisoner's Dilemma (POMG) where the agent learns to cooperate with the other agent. The authors present a novel policy gradient method for cooperating with other agents in a Markov game,"A new policy gradient approach for cooperative and selfish agents in Markov games. This paper proposes a new policy-based approach to cooperate in the Prisoner's Dilemma by learning cooperative policies and switching between them as needed (Lerer & Peysakhovich, 2017), or as an outcome of an end-to-end procedure (Foerster et al., 2017c). The authors propose a novel policy gradient technique for cooperative/selfish agents in POMGs where the goal is to avoid defection.","A method for learning cooperative and selfish policies that improves the behavior of both agents. This article introduces a new policy-ergodic approach to exchangeability in the prisoner's Dilemma, which can be used as a co-operation problem. The authors address the problem of exchangeability between agents by using a pair of policies, one for each agent, and a starting state with a low rate of payoff.","A method for learning cooperative and selfish policies that improves game-to-game performance. The authors address the problem of defection in the Prisoner's Dilemma by introducing a new policy gradient technique to improve the rate of payoff between agents. This article introduces a novel approach to learn cooperative policies, which can be used to train agents with a different level of co-operation and a higher rate of return on their own."
We learn a fast neural solver for PDEs that has convergence guarantees. Develops a method to accelerate the finite difference method in solving PDEs and proposes a revised framework for fixed point iteration after discretization. The authors propose a linear method for speeding up PDE solvers.,"A new iterative solver that converges faster than the hand designed solver. This article introduces a new iteratively solver for deep linear convolutional networks, which can be easily obtained on different geometries and boundary conditions. The study presents a new Iterative Solver for a class of problems where the fixed point of the function is the same as that of the previous iteration.",A new iterative solver for discretized PDE problems that converges to the correct solution in a single iteration. This paper proposes a method for learning an iterative linear solver that is faster than hand-designed ones BID20 BID12. The authors propose a new Iterative Solver for Discretized Processes (DPEs) where the objective is to solve the problem of discretization by solving the problem with only fixed points.,"A new linear convolutional network with a fixed point and fast convergence on the class of problems of interest. This work introduces a new iterator for discretized PDE problems, where the function b is clear from the underlying physical problem. The paper presents a method to learn a linear convex operator that can be used to solve discretized problems by learning a solution governed by the same A.",A new linear convolutional network that can be used to solve a class of PDE problems governed by the same A. This work introduces a new iterator for discretized PDE problem solving with a fixed point and fast convergence on the class of problems of interest. The authors address the problem of learning an iterative solver that is able to approximate T (I) from a single point of view.
"Propose a novel method by integrating SG-MCMC sampling, group sparse prior and network pruning to learn Sparse Structured Ensemble (SSE) with improved performance and significantly reduced cost than traditional methods. The authors propose a procedure to generate an ensemble of sparse structured models A new framework for training ensemble neural networks that uses SG-MCMC methods within deep learning, and then increases computational efficiency by group sparsity+pruning. This work explores the use of FNN and LSTMs to make bayesian model averaging more computationally feasible and improve average model performance.","A Bayesian model averaging method for LSTMs that outperforms SGD and other Bayesian inference frameworks. This work presents a Bayesian method for learning LSTM models using stochastic gradient descent (SGLD). The authors present a method to learn a Bayes-based model averaging algorithm, which can be used to improve the performance of existing Bayesian models.","A Bayesian model averaging method that can improve the performance of neural networks in real-world tasks. This paper proposes a method to learn Bayesian models using stochastic gradient descent (SGLD). The authors propose a method for learning Bayesian ensembles from SGD, which is based on a Bayesian inference framework. The article proposes an approach to training Bayesian generative models with SGLD by reducing the posterior sampling and improving the accuracy of the ensemble.","A Bayesian model averaging is more accurate in prediction and robust to over-fitting than point estimates of parameters. This study presents a Bayes-based method for posterior sampling, which uses a SGLD learning rate to learn from the posterior. The paper considers the problem of posterior sampling with a large number of models, and suggests a way to improve performance by using a random pruned network instead of random connection pruning.","A Bayesian inference framework that averaging more models than other traditional methods of learning ensembles can improve performance. This study studies the problem of posterior sampling in LSTM with an emphasis on discretization error, and shows that SGLD does not have a Metropolis-Hastings correction step. The authors present a method for evaluating posterior sampling as a result of a lack of regularization in the case of DNNs."
"We propose and apply a meta-learning methodology based on Weak Supervision, for combining Semi-Supervised and Ensemble Learning on the task of Biomedical Relationship Extraction. A semi-supervised method for relation classification, which trains multiple base learners using a small labeled dataset and applies some of them to annotate unlabeled examples for semi-supervised learning. This paper addresses the problem of generating training data for biological relation extraction, and uses predictions from data labeled by weak classifiers as additional training data for a meta learning algorithm. This paper proposes a combination of semi-supervised learning and ensemble learning for information extraction, with experiments conducted on a biomedical relation extraction task","An ensemble learning method for improving generalization of deep neural networks on large datasets. This work introduces a new approach to Deep Neural Networks, called Majority Voting, which is an ensemble learning technique that uses a simple bi-directional Long-Short Term Memory network and a large dataset. The study presents a new method for learning a diverse set of data points in a supervised learning setting.","An ensemble learning method for improving the generalization of deep neural networks. This paper proposes a new approach to Deep Neural Networks, which can be adapted and generalized to most supervised learning tasks; (b) demonstrating the effectiveness and usability of this methodology in a small-scale controlled experiment; and (c) investigating the effect of various denoising methods on the overall system behavior and performance. This article proposes a method for learning from unlabeled data points that is more accurate than existing models.","Using an ensemble learning methodology to improve the generalization of relation extraction in a small-scale controlled experiment. This work introduces a new method for supervised learning, which can be used on large-scale (or web-scale) datasets. The authors present a detailed approach to denoising relationships with neural networks, and show that it is useful for training data from different sources.","This study introduces a new ensemble learning methodology for relation extraction, which can be adapted and generalized to large-scale (or web-scale) datasets. The authors present a method for ensemble learning with deep neural networks that uses an unlabeled data point to generate a label or abstain from voting. This work explores the problem of ensemble learning in a small-scale controlled environment by using a multi-modal network"
"we propose a regularizer that improves the classification performance of neural networks the authors propose to train a model from a point of maximizing mutual information between the predictions and the true outputs, with a regularization term that minimizes irrelevant information while learning. Proposes to decompose the parameters into an invertible feature map F and a linear transformation w in the last layer to maximize mutual information I(Y, \hat{T}) while constraining irrelevant information","Information Bottleneck (IB) problem is a binary supervised classification problem where the mutual information between signal X and feature T is treated as irrelevant information for classification. This article presents a binary-supervised classification problem based on the notion of mutual information in deep neural networks. The authors present a binary algorithm for classification of binary neural networks, which can be decomposed into two stages: maximization over mutual information and minimization.","Information Bottleneck (IB) problem is a deep neural network optimization problem where the mutual information between signal X and feature Y is treated as irrelevant information for classification. The article proposes an information bottleneck problem, where mutual information is treated with respect to each other in order to avoid overfitting. This paper proposes a new approach to binary supervised classification based on mutual information that can be decomposed into two stages: maximization and minimization","A novel information optimization problem for supervised classification:Maximize I(Y; Y) and prevent over-fitting in the learning process. This article introduces a novel algorithm to optimize neural networks, which can be decomposed into two stages: Transformation stage of the unstructured signal under the deep invertible (invertible) feature map F to become linearly separable.","A novel information optimization problem for the discrete prediction random variable Y in deep neural network. This work introduces a new algorithm to predict the mutual information between signal X and feature T, which can be decomposed into two stages: Transformation stage, transformation stage, and classification stage. The authors present a novel algorithm for the classification of deep neural networks that is robust against invertible features of Y and prevents over-fitting in the learning process."
"Presents new architecture which leverages information globalization power of u-nets in a deeper networks and performs well across tasks without any bells and whistles. A network architecture for semantic image segmentation, based on composing a stack of basic U-Net architectures, that reduces the number of parameters and improves results. This proposes a stacked U-Net architecture for image segmentation.","A deep net-based classification network that globalizes information while preserving resolution. This work introduces stacked u-nets, which iteratively combine features from different resolution scales while maintaining resolution. The work presents a new architecture for image classification that combines the information globalization power of u-nets with semantic segmentation and object detection tasks.","This work proposes stacked u-nets, which iteratively combine features from different resolution scales while maintaining resolution. This paper proposes stacked U-nets to globalize information by decreasing resolution; features are pooled and down-sampled into a single output. This study proposes stacking u-nets for image segmentation and object detection tasks, with the goal of reducing the number of parameters in the network.","stacked u-nets, which iteratively combine features from different resolution scales while maintaining resolution, are capable of handling the complexity of natural images. This article introduces a stack of auxiliary blocks to globalize information while preserving resolution for image segmentation and object detection tasks. The authors study the problem of globalizing information in a deep network by using a small number of parameters that can be used to address semantic segmentation tasks.",A deep-net architecture capable of handling the complexity of natural images that leverages information globalization power of u-nets in a deeper net-work architecture. This study presents a deep network for image segmentation and object detection tasks that requires global information about all pixels in an image. The authors present a wide range of net- work architectures that combine features from different resolution scales to achieve higher resolution on semantic segmentation tasks.
"We introduce a smoothness regularization for convolutional kernels of CNN that can help improve adversarial robustness and lead to perceptually-aligned gradients This article proposes a new regularization scheme that encourages convolutional kernels to be smoother, arguing that reducing neural network reliance on high-frequency components helps robustness against adversarial examples. The authors propose a method for learning smoother convolutional kernels, specifically, a regularizer penalizing large changes between consecutive pixels of the kernel with the intuition of penalizing the use of high-frequency input components.","A smooth regularization of deep neural networks to improve the robustness of models. This work presents a novel method for training deep neural network models that is more robust to adversarial perturbations than vanilla training loss. The authors present a novel algorithm for training neural networks with low-frequency components that can be used to improve their robustness. This study introduces a new approach to training neural network architectures with low frequency components, and shows that regularization can improve robustness significantly.","Regularization of neural networks to improve the robustness of models. This work proposes a novel regularization method for training neural networks with low-frequency components, which improves the accuracy of the model. The authors propose a new regularization algorithm for neural networks that is more sensitive to high-frequency component of an image than normal ones. This paper proposes a new algorithm for training deep neural networks in order to improve their robustness.","Using a smooth kernel to filter out the low-frequency components of an image and improve models' robustness. This work studies the robustness of neural networks by regularizing the CNN to be most sensitive to the low (or high) component of images. The authors use a variation of logit pairing loss, which penalizes the KL divergence over softmax as the distance metric.","Using a smooth kernel to filter out the low-frequency components of an image and improve the robustness of models. This work introduces a new definition of the high-frequency component of a neural network by using a variation of logit pairing loss, which penalizes the KL divergence over softmax as a distance metric."
